term_text_0,term_ref_0,n
"cetera, evergetismo",http://www.eagle-network.eu/voc/typeins/lod/106,1
"cetera, instrumentum",http://www.eagle-network.eu/voc/typeins/lod/106,1
"cetera, magica?",,1
cetera; magica?,,1
cetera; marchio di cava,,1
"fasti, leges, acta Lex convivalis",,1
"fasti, leges, acta sacrum",,1
"fasti, leges, acta; sepulcralis",,1
"gradus, theatrum vel amphitheatrum",,1
honorarius ###sacer  sacer,,1
honorarius ?,http://www.eagle-network.eu/voc/typeins/lod/232,1
honorarius aut sepulcralis?,,1
honorarius aut sepulcralis,,1
honorarius o,,1
honorarius###????,,1
"honorarius, acclamationes",http://www.eagle-network.eu/voc/typeins/lod/232,1
"honorarius, commemorativo?",,1
"honorarius, oper. publ. priv.que",,1
"honorarius, patronato?",,1
"honorarius, term. non sep.",,1
honorarius; sacer,,1
honorarius; sepulcralis?,,1
honorarius?  sepulcralis?,,1
honorarius? sacer?,,1
"honorarius?, sacer?",,1
"honorarius?, sepulcralis? cetera?",,1
honorarius?; op. publ. pr,,1
ignoratur(honorarius?),,1
ignoratur(sepulcralis?),,1
"ignoratur, honorarius?",,1
"ignoratur, sacer?",,1
inscr. parietariae; sacer,,1
inscr. parietarie,,1
loca,,1
magica,,1
oper. publ. priv.que et sacer,,1
oper. publ. priv.que honorarius ?,,1
oper. publ. priv.que meridiana,,1
oper. publ. priv.que sacer ?,,1
oper. publ. priv.que vel sepulcralis,,1
oper. publ. priv.que?  sepulcralis?,,1
oper. publ. priv.que? sepulcralis?,,1
"oper. publ. priv.que?, honorarius?",,1
"oper. publ. priv.que?, sacer?",,1
"oper. publ. priv.que?, sepulcralis?",,1
oper. publ. priv.que?; honorarius?,,1
oper. publ. priv.que?; sacer?,,1
sacer ###magica magica magica magica magica magica,,1
sacer Mithras,,1
sacer formula,,1
sacer oper.publ.priv.,,1
sacer opera publica,,1
sacer sepulcralis,,1
sacer###????,,1
"sacer, Matronae",http://www.eagle-network.eu/voc/typeins/lod/79,1
"sacer, carmen?",,1
"sacer, culto imperiale",,1
"sacer, donario",http://www.eagle-network.eu/voc/typeins/lod/79,1
"sacer, donum",http://www.eagle-network.eu/voc/typeins/lod/79,1
"sacer, honorarius",http://www.eagle-network.eu/voc/typeins/lod/79,1
"sacer, sepulcralis?",,1
"sacer, term. non sep.",,1
sacer? sepulcralis?,,1
"sacer?, sepulcralis?",,1
sacer?; honorarius?,,1
sep,,1
sepulcralis aut sacer ?,,1
sepulcralis datazione?,,1
sepulcralis honorarius?,,1
sepulcralis oper. publ.?,,1
sepulcralis sacer,,1
sepulcralis###????,,1
sepulcralis',,1
"sepulcralis, carmen giambico",,1
sepulcralis? canis sepulcrum,,1
sepulcralis? sacer ?,,1
"sepulcralis?,",,1
"sepulcralis?, term. non sep.?",,1
sepulcralis?; honorarius?,,1
term. non sep. sacer,,1
"term. non sep., honorarius",,1
tit. in artis operib. inscr. sacer,,1
tit. in artis operib. inscr. sacer?,,1
tit. in artis operib. inscr. sepulcralis?,,1
"tit. in artis operib. inscr., carmen",,1
"tit. in artis operib. inscr., sacer",,1
"tit. in artis operib. inscr., sepulcralis",,1
tit. in artis operib. inscr.? honorarius?,,1
tit. in artis operib. inscr.?; sepulcralis?,,1
